gene	disease_id	correlation	tissue	cell	score	prediction_rank
(RP11-712L6.5)	C0027662	-0.1499022950827016	Thyroid	MCF7	0.1499022950827016	71.0
LOC100507599	C0027662	-0.14934235223887127	Thyroid	MCF7	0.14934235223887127	72.0
HOXA1	C0027662	-0.14932015935383047	Thyroid	MCF7	0.14932015935383047	73.0
MYLK-AS1	C0027662	-0.14867809415778854	Thyroid	MCF7	0.14867809415778854	74.0
RBMS1	C0027662	-0.14802567246738718	Thyroid	MCF7	0.14802567246738718	75.0
XLOC_L2_000636	C0027662	-0.14797462613367496	Thyroid	MCF7	0.14797462613367496	76.0
MTX2	C0027662	-0.14678948728458874	Thyroid	MCF7	0.14678948728458874	77.0
TDRD3	C0027662	-0.1464540303527675	Thyroid	MCF7	0.1464540303527675	78.0
NDUFA1	C0027662	-0.1462195578901193	Thyroid	MCF7	0.1462195578901193	79.0
XLOC_013921	C0027662	-0.14621234323426124	Thyroid	MCF7	0.14621234323426124	80.0
FAS	C0027662	-0.14620130714535695	Thyroid	MCF7	0.14620130714535695	81.0
QDPR	C0027662	-0.14428198625300603	Thyroid	MCF7	0.14428198625300603	82.0
NPM1	C0027662	-0.14410530994120263	Thyroid	MCF7	0.14410530994120263	83.0
SOX2	C0027662	-0.14324206981545218	Thyroid	MCF7	0.14324206981545218	84.0
(RP11-505K9.1)	C0027662	-0.14320594253069663	Thyroid	MCF7	0.14320594253069663	85.0
XLOC_L2_011173	C0027662	-0.14241121791402067	Thyroid	MCF7	0.14241121791402067	86.0
AURKAIP1	C0027662	-0.14219657227334737	Thyroid	MCF7	0.14219657227334737	87.0
(RP13-1032I1.7)	C0027662	-0.14153534077114993	Thyroid	MCF7	0.14153534077114993	88.0
EMC3-AS1	C0027662	-0.14127089380353763	Thyroid	MCF7	0.14127089380353763	89.0
IFIH1	C0027662	-0.14113169188644026	Thyroid	MCF7	0.14113169188644026	90.0
TKT	C0027662	-0.14109767867200151	Thyroid	MCF7	0.14109767867200151	91.0
HEY1	C0027662	-0.14036420091336455	Thyroid	MCF7	0.14036420091336455	92.0
NIT1	C0027662	-0.13802975343542623	Thyroid	MCF7	0.13802975343542623	93.0
IDE	C0027662	-0.13703873905936703	Thyroid	MCF7	0.13703873905936703	94.0
SPTLC2	C0027662	-0.13699782633794055	Thyroid	MCF7	0.13699782633794055	95.0
RPS3A	C0027662	-0.13661561081687812	Thyroid	MCF7	0.13661561081687812	96.0
XLOC_014192	C0027662	-0.13645559957025233	Thyroid	MCF7	0.13645559957025233	97.0
TSC22D3	C0027662	-0.13604713745954	Thyroid	MCF7	0.13604713745954	98.0
GNAI1	C0027662	-0.13589880264566045	Thyroid	MCF7	0.13589880264566045	99.0
XLOC_L2_006648	C0027662	-0.1353878923880918	Thyroid	MCF7	0.1353878923880918	100.0
RARRES3	C0027662	-0.13513222505654854	Thyroid	MCF7	0.13513222505654854	101.0
FIBP	C0027662	-0.1350634057528295	Thyroid	MCF7	0.1350634057528295	102.0
NUDT6	C0027662	-0.13484140638698006	Thyroid	MCF7	0.13484140638698006	103.0
ADC	C0027662	-0.13464689600610225	Thyroid	MCF7	0.13464689600610225	104.0
NAB2	C0027662	-0.13345429033165135	Thyroid	MCF7	0.13345429033165135	105.0
XLOC_001537	C0027662	-0.13339011488833563	Thyroid	MCF7	0.13339011488833563	106.0
XLOC_006194	C0027662	-0.1331338903724406	Thyroid	MCF7	0.1331338903724406	107.0
ZNF473	C0027662	-0.1328228622670784	Thyroid	MCF7	0.1328228622670784	108.0
DLEU1	C0027662	-0.13281019848221343	Thyroid	MCF7	0.13281019848221343	109.0
MORF4L1	C0027662	-0.1327639328963166	Thyroid	MCF7	0.1327639328963166	110.0
PANK4	C0027662	-0.13210637981790074	Thyroid	MCF7	0.13210637981790074	111.0
LINC01311	C0027662	-0.13193982942429616	Thyroid	MCF7	0.13193982942429616	112.0
POLR2F	C0027662	-0.13154981138465893	Thyroid	MCF7	0.13154981138465893	113.0
TRIM9	C0027662	-0.13108197325438198	Thyroid	MCF7	0.13108197325438198	114.0
DCLRE1B	C0027662	-0.13073239148577787	Thyroid	MCF7	0.13073239148577787	115.0
POLR3C	C0027662	-0.13034718596233308	Thyroid	MCF7	0.13034718596233308	116.0
KITLG	C0027662	-0.13011908103157888	Thyroid	MCF7	0.13011908103157888	117.0
LINC01003	C0027662	-0.13009007678134177	Thyroid	MCF7	0.13009007678134177	118.0
INS	C0027662	-0.12957045209043994	Thyroid	MCF7	0.12957045209043994	119.0
SATB1	C0027662	-0.1294885451265373	Thyroid	MCF7	0.1294885451265373	120.0
E2F6	C0027662	-0.12915380056706383	Thyroid	MCF7	0.12915380056706383	121.0
MKX	C0027662	-0.12838612726469423	Thyroid	MCF7	0.12838612726469423	122.0
MBNL2	C0027662	-0.1279425417536495	Thyroid	MCF7	0.1279425417536495	123.0
HAL	C0027662	-0.12782062211562417	Thyroid	MCF7	0.12782062211562417	124.0
OAS1	C0027662	-0.12751493609395315	Thyroid	MCF7	0.12751493609395315	125.0
MAT2A	C0027662	-0.12692626896636994	Thyroid	MCF7	0.12692626896636994	126.0
XLOC_000966	C0027662	-0.12669749483659598	Thyroid	MCF7	0.12669749483659598	127.0
LOC105369340	C0027662	-0.1260696952292033	Thyroid	MCF7	0.1260696952292033	128.0
PTK2	C0027662	-0.12583077958651612	Thyroid	MCF7	0.12583077958651612	129.0
BLZF1	C0027662	-0.1255074124901676	Thyroid	MCF7	0.1255074124901676	130.0
MBNL1	C0027662	-0.12505206551614578	Thyroid	MCF7	0.12505206551614578	131.0
ASPH	C0027662	-0.12400958807689544	Thyroid	MCF7	0.12400958807689544	132.0
PTPRG-AS1	C0027662	-0.12396002211098733	Thyroid	MCF7	0.12396002211098733	133.0
LOC730183	C0027662	-0.12386146112134178	Thyroid	MCF7	0.12386146112134178	134.0
MTERFD1	C0027662	-0.12367043578557513	Thyroid	MCF7	0.12367043578557513	135.0
LOC100996720	C0027662	-0.12317056110005353	Thyroid	MCF7	0.12317056110005353	136.0
NMRAL1	C0027662	-0.12264910376165483	Thyroid	MCF7	0.12264910376165483	137.0
MYCBP	C0027662	-0.12162612432768616	Thyroid	MCF7	0.12162612432768616	138.0
PSMB9	C0027662	-0.12150409673442986	Thyroid	MCF7	0.12150409673442986	139.0
MCCC1	C0027662	-0.12034467280048666	Thyroid	MCF7	0.12034467280048666	140.0
SH3BP5	C0027662	-0.12007853174892702	Thyroid	MCF7	0.12007853174892702	141.0
KLHL9	C0027662	-0.11925302801946014	Thyroid	MCF7	0.11925302801946014	142.0
PDAP1	C0027662	-0.11856905058854506	Thyroid	MCF7	0.11856905058854506	143.0
CNPY3	C0027662	-0.11845660455236873	Thyroid	MCF7	0.11845660455236873	144.0
SMAD5	C0027662	-0.11760527678085553	Thyroid	MCF7	0.11760527678085553	145.0
