gene	entrezgene
VN1R5	hsa:317705
TWF2	hsa:11344
PIGBOS1	hsa:101928527
GPR3	hsa:2827
ELK1	hsa:2002
RORC	hsa:6097
NRIP1	hsa:8204
SACM1L	hsa:22908
RPL22	hsa:6146
TRAM2	hsa:9697
TPM1	hsa:7168
TCEA1	hsa:6917
CNOT4	hsa:4850
HSF5	hsa:124535
IL13	hsa:3596
NEU1	hsa:4758
GSTP1	hsa:2950
EPHA3	hsa:2042
ALDH3B1	hsa:221
E2F8	hsa:79733
ERN1	hsa:2081
SLC7A11	hsa:23657
EIF3G	hsa:8666
TNFRSF14	hsa:8764
RAB31	hsa:11031
FHL2	hsa:2274
SERPIND1	hsa:3053
C20ORF204	hsa:284739
UBE2E3	hsa:10477
AXL	hsa:558
FBXL14	hsa:144699
PSMD5	hsa:5711
ANKRD49	hsa:54851
GUSB	hsa:2990
RNPS1	hsa:10921
ZBTB9	hsa:221504
HLA-DRA	hsa:3122
IRAK1	hsa:3654
CANT1	hsa:124583
PBX4	hsa:80714
GADD45A	hsa:1647
TRIM36	hsa:55521
LMX1B	hsa:4010
FLT4	hsa:2324
LYPD3	hsa:27076
SKAP2	hsa:8935
SUB1	hsa:10923
EXOC1L	hsa:644145
IKZF2	hsa:22807
PIM2	hsa:11040
GSDMB	hsa:55876
LOC388780	hsa:388780
PEX11A	hsa:8800
ZNF37A	hsa:7587
HIF1A	hsa:3091
LOC151760	hsa:151760
NDUFV1	hsa:4723
ZNF582	hsa:147948
LOC93622	hsa:93622
HOXB-AS3	hsa:404266
ZBTB48	hsa:3104
PGK1	hsa:5230
LINC01719	hsa:101928979
SPIC	hsa:121599
ARHGEF9	hsa:23229
CYB561	hsa:1534
CDX2	hsa:1045
PCGF2	hsa:7703
LARP1	hsa:23367
BCKDK	hsa:10295
ING2	hsa:3622
CASC2	hsa:255082
CYC1	hsa:1537
ERCC5	hsa:2073
SAT1	hsa:6303
GRN	hsa:2896
NPRL2	hsa:10641
NUAK2	hsa:81788
NCOA3	hsa:8202
ZNF385D	hsa:79750
RAB11A	hsa:8766
BRPF1	hsa:7862
IDH1	hsa:3417
NEUROD1	hsa:4760
LOC100128885	hsa:100128885
RORA	hsa:6095
CALR	hsa:811
CYP2E1	hsa:1571
CDCA4	hsa:55038
LAP3	hsa:51056
SLC22A18	hsa:5002
XKR6	hsa:286046
IL20	hsa:50604
FOXO3	hsa:2309
RNF10	hsa:9921
FGR	hsa:2268
NFKB1	hsa:4790
GRB2	hsa:2885
BAX	hsa:581
TRIM41	hsa:90933
DTNA	hsa:1837
MGLL	hsa:11343
CBR3	hsa:874
ALDH3A1	hsa:218
ECHS1	hsa:1892
MSRB2	hsa:22921
WIPI1	hsa:55062
ZNF30	hsa:90075
ZNF490	hsa:57474
MIF	hsa:4282
RFXANK	hsa:8625
SNRNP70	hsa:6625
KLHDC9	hsa:126823
LL21NC02-21A1.1	hsa:101928745
PABPC1	hsa:26986
PRDX2	hsa:7001
EWSR1	hsa:2130
SLC25A3	hsa:5250
FASTKD1	hsa:79675
GPR26	hsa:2849
PIK3CA	hsa:5290
ZBTB25	hsa:7597
UBL5	hsa:59286
IL12A	hsa:3592
UBE2A	hsa:7319
SH3RF2	hsa:153769
ALG9	hsa:79796
LINC01089	hsa:338799
MCF2L-AS1	hsa:100289410
NDUFAB1	hsa:4706
BCL2L1	hsa:598
NT5E	hsa:4907
TNFRSF17	hsa:608
VRK1	hsa:7443
PAX8-AS1	hsa:654433
MARK1	hsa:4139
OR2T33	hsa:391195
TRAFD1	hsa:10906
SSX2	hsa:6757
ZIM3	hsa:114026
MAP3K14	hsa:9020
FBP1	hsa:2203
LIM2	hsa:3982
LBX2-AS1	hsa:151534
LINC01572	hsa:101927957
ATF6B	hsa:1388
NDUFS6	hsa:4726
KCNA3	hsa:3738
PSMB8	hsa:5696
ZZZ3	hsa:26009
ACVR2B	hsa:93
LCN2	hsa:3934
CD14	hsa:929
PARN	hsa:5073
ICAM1	hsa:3383
MLLT6	hsa:4302
CSNK1D	hsa:1453
AKT1S1	hsa:84335
GSTT1	hsa:2952
C17ORF49	hsa:124944
CDC25C	hsa:995
HDAC3	hsa:8841
SRPRB	hsa:58477
CERS2	hsa:29956
ZKSCAN4	hsa:387032
KEAP1	hsa:9817
SPRED2	hsa:200734
ACADM	hsa:34
HOXA6	hsa:3203
PIK3CB	hsa:5291
IRF8	hsa:3394
DBI	hsa:1622
PIK3R4	hsa:30849
PIK3CD	hsa:5293
PPP2R3A	hsa:5523
CAMKK1	hsa:84254
ROGDI	hsa:79641
ZNF597	hsa:146434
LIAS	hsa:11019
PRSS2	hsa:5645
VPS41	hsa:27072
ZNF436	hsa:80818
NFKBIE	hsa:4794
PRCC	hsa:5546
SETDB1	hsa:9869
WNT1	hsa:7471
CSF1R	hsa:1436
SNRNP25	hsa:79622
PTGER4	hsa:5734
DEPDC7	hsa:91614
CHRAC1	hsa:54108
GPR83	hsa:10888
S1PR3	hsa:1903
BCL6B	hsa:255877
FBXO34	hsa:55030
ADH5	hsa:128
UBAP2L	hsa:9898
FAM20B	hsa:9917
ATF2	hsa:1386
RPS7	hsa:6201
PSMC5	hsa:5705
GDPD5	hsa:81544
DDOST	hsa:1650
TWIST2	hsa:117581
TUBB6	hsa:84617
SSBP4	hsa:170463
HPD	hsa:3242
ITPKB	hsa:3707
CPSF4	hsa:10898
MAD2L1BP	hsa:9587
RYBP	hsa:23429
ZNF677	hsa:342926
ZSCAN22	hsa:342945
POLE2	hsa:5427
POLE3	hsa:54107
DDX49	hsa:54555
P2RY12	hsa:64805
SLC25A4	hsa:291
ZNF564	hsa:163050
NEK9	hsa:91754
IFNAR2	hsa:3455
PEX3	hsa:8504
PAX8	hsa:7849
ADK	hsa:132
CHRM3	hsa:1131
RBP4	hsa:5950
HEY1	hsa:23462
TFAP2A	hsa:7020
PITPNA	hsa:5306
ZNF92	hsa:168374
ECSIT	hsa:51295
SOS2	hsa:6655
FGD5-AS1	hsa:100505641
PPP1R13B	hsa:23368
SALL4	hsa:57167
AMIGO3	hsa:386724
ZEB1	hsa:6935
MXD3	hsa:83463
HSPBAP1	hsa:79663
TCTN1	hsa:79600
TPT1-AS1	hsa:100190939
EGR2	hsa:1959
ZNF256	hsa:10172
NAGK	hsa:55577
NDUFA1	hsa:4694
NLK	hsa:51701
VIM	hsa:7431
GABBR1	hsa:2550
RBM10	hsa:8241
PFAS	hsa:5198
TRIM16	hsa:10626
APEX1	hsa:328
ARG2	hsa:384
RFX5	hsa:5993
FADS3	hsa:3995
EFNB3	hsa:1949
HLX	hsa:3142
IRF4	hsa:3662
DMD	hsa:1756
ILKAP	hsa:80895
GRK6	hsa:2870
ALK	hsa:238
FCGR3B	hsa:2215
MBD4	hsa:8930
STUB1	hsa:10273
STYK1	hsa:55359
CEP55	hsa:55165
RNF7	hsa:9616
PIAS1	hsa:8554
SLC1A1	hsa:6505
SP6	hsa:80320
TUBB3	hsa:10381
RFWD3	hsa:55159
GJA1	hsa:2697
PSMB1	hsa:5689
MTOR	hsa:2475
LOC728485	hsa:728485
CXCL1	hsa:2919
ABL1	hsa:25
CXCR4	hsa:7852
OTX1	hsa:5013
XPR1	hsa:9213
RAB11B-AS1	hsa:100507567
LPL	hsa:4023
POLR3D	hsa:661
USP14	hsa:9097
ETV1	hsa:2115
HMGB3	hsa:3149
TM7SF2	hsa:7108
CCND2	hsa:894
G2E3	hsa:55632
ZNF592	hsa:9640
EMC3-AS1	hsa:442075
CPXCR1	hsa:53336
FBXO38	hsa:81545
DCK	hsa:1633
DMTF1	hsa:9988
PTHLH	hsa:5744
PA2G4	hsa:5036
HOXD9	hsa:3235
NDUFA7	hsa:4701
HOXA5	hsa:3202
PLAU	hsa:5328
CBFB	hsa:865
SNCA	hsa:6622
TBCB	hsa:1155
ZNF557	hsa:79230
SLC35A1	hsa:10559
REG1A	hsa:5967
TMEM154	hsa:201799
TSPAN4	hsa:7106
ZNF556	hsa:80032
P2RX4	hsa:5025
SLC2A3	hsa:6515
SDF2L1	hsa:23753
ARHGEF3	hsa:50650
GMCL1	hsa:64395
PSKH2	hsa:85481
TAX1BP1	hsa:8887
SIX2	hsa:10736
APOH	hsa:350
ZNF462	hsa:58499
CYP51A1	hsa:1595
EIF5A	hsa:1984
HNF4A	hsa:3172
PHKG2	hsa:5261
NAE1	hsa:8883
PSMA3-AS1	hsa:379025
ZFP28	hsa:140612
ZBTB17	hsa:7709
NRAS	hsa:4893
PRPF6	hsa:24148
PRDM10	hsa:56980
ACVR2A	hsa:92
HTD2	hsa:109703458
SMARCC2	hsa:6601
TSC22D4	hsa:81628
GCK	hsa:2645
PRKAR1A	hsa:5573
CHAF1B	hsa:8208
HSP90AB1	hsa:3326
TRIB1	hsa:10221
ZNF83	hsa:55769
CBX8	hsa:57332
EVL	hsa:51466
POLR2I	hsa:5438
MUSK	hsa:4593
LSM2	hsa:57819
ZNF430	hsa:80264
RNF20	hsa:56254
ACTN2	hsa:88
TRIM27	hsa:5987
GLI1	hsa:2735
MYB	hsa:4602
PRDM1	hsa:639
SOX15	hsa:6665
KBTBD8	hsa:84541
EGLN3	hsa:112399
P2RY8	hsa:286530
RARA	hsa:5914
UGCG	hsa:7357
KLF6	hsa:1316
THUMPD3-AS1	hsa:440944
LOC102723373	hsa:102723373
ABCB5	hsa:340273
ATP6V1F	hsa:9296
CETN3	hsa:1070
TGM2	hsa:7052
COQ3	hsa:51805
RBBP4	hsa:5928
SRP54-AS1	hsa:100506157
SIK1	hsa:150094
HLA-DRB4	hsa:3126
DFFA	hsa:1676
TIMP3	hsa:7078
ZNF263	hsa:10127
PRDM7	hsa:11105
TERF2IP	hsa:54386
EFCAB10	hsa:100130771
TFDP2	hsa:7029
LOC100996842	hsa:100996842
NUDT14	hsa:256281
ZBED1	hsa:9189
TSFM	hsa:10102
ZNF169	hsa:169841
SORBS2	hsa:8470
TUBA3FP	hsa:113691
TRIM56	hsa:81844
PLOD1	hsa:5351
CUL3	hsa:8452
RPL39L	hsa:116832
TBX22	hsa:50945
MMP2	hsa:4313
EPHX1	hsa:2052
FGF1	hsa:2246
DLEU1	hsa:10301
SETBP1	hsa:26040
TRIM29	hsa:23650
RET	hsa:5979
PEPD	hsa:5184
SLC25A15	hsa:10166
TRIM42	hsa:287015
ZNF350	hsa:59348
ZNF790-AS1	hsa:284408
HDAC4	hsa:9759
PAK2	hsa:5062
ABCC3	hsa:8714
PKNOX1	hsa:5316
BAMBI	hsa:25805
YTHDC1	hsa:91746
XPA	hsa:7507
PPP4C	hsa:5531
ZNF253	hsa:56242
DPYD	hsa:1806
NRF1	hsa:4899
ZNF774	hsa:342132
FBXO42	hsa:54455
TPD52L2	hsa:7165
STK19	hsa:8859
PDIA4	hsa:9601
ZNHIT3	hsa:9326
NOC4L	hsa:79050
RASA1	hsa:5921
EIF4B	hsa:1975
NDUFC2	hsa:4718
ITGAE	hsa:3682
GPR107	hsa:57720
COMT	hsa:1312
PTK2B	hsa:2185
RGS6	hsa:9628
ACLY	hsa:47
ATG4A	hsa:115201
DOT1L	hsa:84444
CD36	hsa:948
ZNF555	hsa:148254
ZNF583	hsa:147949
TAF13	hsa:6884
IKZF1	hsa:10320
ING3	hsa:54556
RPS6KA1	hsa:6195
ZBED5-AS1	hsa:729013
IGFBP5	hsa:3488
ZNF695	hsa:57116
NDFIP1	hsa:80762
ATAD1	hsa:84896
TCTA	hsa:6988
CDK9	hsa:1025
CLK2	hsa:1196
IL4	hsa:3565
MAPK12	hsa:6300
CD58	hsa:965
ATG5	hsa:9474
PVR	hsa:5817
ZNF570	hsa:148268
KISS1R	hsa:84634
CYCS	hsa:54205
ELMOD3	hsa:84173
A2M	hsa:2
ATF6	hsa:22926
POT1	hsa:25913
AP2M1	hsa:1173
GPR84	hsa:53831
TNFRSF10A	hsa:8797
GPC1	hsa:2817
TRIP10	hsa:9322
NOSIP	hsa:51070
PPT1	hsa:5538
PSG2	hsa:5670
IGFBP7	hsa:3490
THAP8	hsa:199745
ZNF548	hsa:147694
PHB2	hsa:11331
UBR1	hsa:197131
SYF2	hsa:25949
RABGGTA	hsa:5875
CD81	hsa:975
TNF	hsa:7124
ESRRA	hsa:2101
WNT2	hsa:7472
MAPK14	hsa:1432
GATA2	hsa:2624
A4GALT	hsa:53947
PREB	hsa:10113
MRGPRF	hsa:116535
ZNF554	hsa:115196
LYZ	hsa:4069
HP1BP3	hsa:50809
PPP2CB	hsa:5516
HOXC13-AS	hsa:100874366
SREBF1	hsa:6720
IGHMBP2	hsa:3508
NFAT5	hsa:10725
B3GAT3	hsa:26229
DLX2	hsa:1746
SLC4A2	hsa:6522
CDK17	hsa:5128
DOK4	hsa:55715
TP53	hsa:7157
TRIM73	hsa:375593
CEBPG	hsa:1054
SLITRK6	hsa:84189
F3	hsa:2152
LARP4	hsa:113251
XPC	hsa:7508
SGK2	hsa:10110
HMOX2	hsa:3163
PAK3	hsa:5063
PPP6C	hsa:5537
IKBKG	hsa:8517
SCRN1	hsa:9805
SLC37A4	hsa:2542
ZNF503-AS2	hsa:100131213
SUPV3L1	hsa:6832
NASP	hsa:4678
CRYGC	hsa:1420
DHX57	hsa:90957
DVL3	hsa:1857
